tic,company,gicssector,gicssubsector
TXG,10x Genomics,Health Care,
MMM,3M,Industrials,Industrial Conglomerates
ABT,Abbott,Health Care,Health Care Equipment
ABBV,AbbVie,Health Care,Pharmaceuticals
ACHC,Acadia Healthcare,Health Care,Health Care Facilities
ACN,Accenture,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
AYI,Acuity Brands,Industrials,Electrical Components & Equipment
ADM,ADM,Consumer Staples,Agricultural Products
ADBE,Adobe,Information Technology,Application Software
ADP,ADP,Information Technology,Data Processing & Outsourced Services
ADT,ADT,Consumer Discretionary,
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
WMS,Advanced Drainage Systems,Industrials,
ACM,AECOM,Industrials,Construction & Engineering
AES,AES,Utilities,Independent Power Producers & Energy Traders
AFRM,Affirm,Information Technology,
AFL,Aflac,Financials,Life & Health Insurance
AGCO,AGCO,Industrials,Agricultural & Farm Machinery
A,Agilent Technologies,Health Care,Health Care Equipment
AGL,Agilon Health,Health Care,
AGNC,AGNC Investment,Financials,
AIG,AIG,Financials,Property & Casualty Insurance
AL,Air Lease Corporation,Industrials,
APD,Air Products and Chemicals,Materials,Industrial Gases
ABNB,Airbnb,Consumer Discretionary,Internet & Direct Marketing Retail
AKAM,Akamai,Information Technology,Internet Services & Infrastructure
ALK,Alaska Air Group,Industrials,Airlines
ALB,Albemarle,Materials,Specialty Chemicals
ACI,Albertsons,Consumer Staples,
AA,Alcoa,Materials,Aluminum
ARE,Alexandria,Real Estate,Office REITs
ALGN,Align,Health Care,Health Care Supplies
ALLE,Allegion,Industrials,Building Products
ALGM,Allegro MicroSystems,Information Technology,
LNT,Alliant Energy,Utilities,Electric Utilities
ALSN,Allison Transmission,Industrials,
ALL,Allstate,Financials,Property & Casualty Insurance
ALLY,Ally,Financials,
ALNY,Alnylam,Health Care,
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services
AYX,Alteryx,Information Technology,
ATUS,Altice USA,Communication Services,
MO,Altria,Consumer Staples,Tobacco
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
AMC,AMC Theatres (Class A),Communication Services,
AMCR,Amcor,Materials,Paper Packaging
AMD,AMD,Information Technology,Semiconductors
DOX,Amdocs,Information Technology,
AMED,Amedisys,Health Care,Health Care Services
AEE,Ameren,Utilities,Multi-Utilities
AAL,American Airlines Group,Industrials,Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express,Financials,Consumer Finance
AFG,American Financial Group,Financials,Multi-line Insurance
AMH,American Homes 4 Rent,Real Estate,
AMT,American Tower,Real Estate,Specialized REITs
AWK,American Water,Utilities,Water Utilities
COLD,Americold,Real Estate,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
ABC,AmerisourceBergen,Health Care,Health Care Distributors
AME,Ametek,Industrials,Electrical Components & Equipment
AMG,AMG,Financials,Asset Management & Custody Banks
AMGN,Amgen,Health Care,Biotechnology
APH,Amphenol,Information Technology,Electronic Components
ADI,Analog Devices,Information Technology,Semiconductors
NLY,Annaly,Financials,
ANSS,Ansys,Information Technology,Application Software
AM,Antero Midstream,Energy,
AR,Antero Resources,Energy,
AON,AON,Financials,Insurance Brokers
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
AIRC,Apartment Income REIT,Real Estate,
APO,Apollo,Financials,
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials,Information Technology,Semiconductor Equipment
APP,AppLovin,Information Technology,
ATR,AptarGroup,Materials,Metal & Glass Containers
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment
ARMK,Aramark,Consumer Discretionary,
ACGL,Arch,Financials,Reinsurance
AMBP,Ardagh Metal Packaging,Materials,
ARES,Ares,Financials,
ANET,Arista,Information Technology,Communications Equipment
AWI,Armstrong World Industries,Industrials,
ARW,Arrow Electronics,Information Technology,Technology Distributors
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
ASH,Ashland,Materials,Diversified Chemicals
AZPN,Aspen Technology,Information Technology,Application Software
AIZ,Assurant,Financials,Multi-line Insurance
AGO,Assured Guaranty,Financials,
T,AT&T,Communication Services,Integrated Telecommunication Services
TEAM,Atlassian,Information Technology,Application Software
ATO,Atmos Energy,Utilities,Gas Utilities
ADSK,Autodesk,Information Technology,Application Software
AN,AutoNation,Consumer Discretionary,Automotive Retail
AZO,AutoZone,Consumer Discretionary,Specialty Stores
AVB,AvalonBay Communities,Real Estate,Residential REITs
AGR,Avangrid,Utilities,
AVTR,Avantor,Health Care,
AVY,Avery Dennison,Materials,Paper Packaging
CAR,Avis Budget Group,Industrials,Trucking
AVT,Avnet,Information Technology,Technology Distributors
AXTA,Axalta,Materials,
AXS,AXIS Capital,Financials,
AXON,Axon,Industrials,Aerospace & Defense
AZEK,Azek,Industrials,
AZTA,Azenta,Information Technology,Semiconductor Equipment
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,Ball,Materials,Metal & Glass Containers
BAC,Bank of America,Financials,Diversified Banks
BOH,Bank of Hawaii,Financials,Regional Banks
OZK,Bank OZK,Financials,Regional Banks
BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores
BAX,Baxter,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
BSY,Bentley,Information Technology,
WRB,Berkley,Financials,Property & Casualty Insurance
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BERY,Berry Global,Materials,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BILL,Bill.com,Information Technology,
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
BIIB,Biogen,Health Care,Biotechnology
BMRN,BioMarin,Health Care,
BJ,BJ's Wholesale Club,Consumer Staples,Hypermarkets & Super Centers
BKI,Black Knight,Information Technology,
BLK,BlackRock,Financials,Asset Management & Custody Banks
BX,Blackstone,Financials,Asset Management & Custody Banks
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services
SQ,"Block, Inc.",Information Technology,
OWL,Blue Owl Capital,Financials,
BK,BNY Mellon,Financials,Asset Management & Custody Banks
BA,Boeing,Industrials,Aerospace & Defense
BOKF,BOK Financial,Financials,
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
BAH,Booz Allen Hamilton,Industrials,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
SAM,Boston Beer Company,Consumer Staples,Brewers
BXP,Boston Properties,Real Estate,Office REITs
BSX,Boston Scientific,Health Care,Health Care Equipment
BYD,Boyd Gaming,Consumer Discretionary,Casinos & Gaming
BFAM,Bright Horizons Family Solutions,Consumer Discretionary,
BHF,Brighthouse Financial,Financials,Life & Health Insurance
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors
BRX,Brixmor Property Group,Real Estate,Retail REITs
AVGO,Broadcom,Information Technology,Semiconductors
BR,Broadridge,Information Technology,Data Processing & Outsourced Services
BEPC,Brookfield Renewable,Utilities,
BRO,Brown & Brown,Financials,Insurance Brokers
BF.A,Brown–Forman (Class A),Consumer Staples,Distillers & Vintners
BF.B,Brown–Forman (Class B),Consumer Staples,Distillers & Vintners
BRKR,Bruker,Health Care,Health Care Equipment
BC,Brunswick,Consumer Discretionary,Leisure Products
BLDR,Builders FirstSource,Industrials,Building Products
BG,Bunge,Consumer Staples,
BURL,Burlington,Consumer Discretionary,
BWXT,BWX Technologies,Industrials,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
CABO,Cable One,Communication Services,Cable & Satellite
CACI,CACI,Industrials,Diversified Support Services
CDNS,Cadence,Information Technology,Application Software
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,Real Estate,Residential REITs
CPB,Campbell's,Consumer Staples,Packaged Foods & Meats
COF,Capital One,Financials,Consumer Finance
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
CAH,Cardinal Health,Health Care,Health Care Distributors
CSL,Carlisle Companies,Industrials,Industrial Conglomerates
CG,Carlyle Group (The),Financials,
KMX,CarMax,Consumer Discretionary,Specialty Stores
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,Carrier,Industrials,Building Products
CRI,Carter's,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
CVNA,Carvana,Consumer Discretionary,
CASY,Casey's,Consumer Staples,Food Retail
CTLT,Catalent,Health Care,Pharmaceuticals
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks
CBOE,Cboe,Financials,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate,Real Estate Services
CCCS,CCC Intelligent Solutions,Information Technology,
CDW,CDW,Information Technology,Technology Distributors
CE,Celanese,Materials,Specialty Chemicals
CNC,Centene,Health Care,Managed Health Care
CNP,Centerpoint Energy,Utilities,Multi-Utilities
CDAY,Ceridian,Information Technology,Application Software
CERT,Certara,Health Care,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CHPT,ChargePoint,Industrials,
CRL,Charles River,Health Care,Life Sciences Tools & Services
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage
CHTR,Charter Communications,Communication Services,Cable & Satellite
CHE,Chemed Corporation,Health Care,Health Care Services
CC,Chemours,Materials,Diversified Chemicals
LNG,Cheniere,Energy,
CHK,Chesapeake Energy,Energy,
CVX,Chevron,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CHH,Choice Hotels,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CB,Chubb,Financials,Property & Casualty Insurance
CHD,Church & Dwight,Consumer Staples,Household Products
CHDN,Churchill Downs Inc.,Consumer Discretionary,Casinos & Gaming
CIEN,Ciena,Information Technology,Communications Equipment
CI,Cigna,Health Care,Managed Health Care
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,Cintas,Industrials,Diversified Support Services
CRUS,Cirrus Logic,Information Technology,Semiconductors
CSCO,Cisco,Information Technology,Communications Equipment
C,Citigroup,Financials,Diversified Banks
CFG,Citizens,Financials,Regional Banks
CLVT,Clarivate,Industrials,
CLH,Clean Harbors,Industrials,Environmental & Facilities Services
CLF,Cleveland-Cliffs,Materials,Steel
CLX,Clorox,Consumer Staples,Household Products
NET,Cloudflare,Information Technology,
CME,CME Group,Financials,Financial Exchanges & Data
CMS,CMS Energy,Utilities,Multi-Utilities
CNA,CNA Financial,Financials,
KO,Coca-Cola,Consumer Staples,Soft Drinks
CGNX,Cognex,Information Technology,Electronic Equipment & Instruments
CTSH,Cognizant,Information Technology,IT Consulting & Other Services
COHR,Coherent Corp.,Information Technology,Electronic Components
COIN,Coinbase,Financials,
CL,Colgate-Palmolive,Consumer Staples,Household Products
COLM,Columbia Sportswear,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
CMCSA,Comcast,Communication Services,Cable & Satellite
CMA,Comerica,Financials,Diversified Banks
CBSH,Commerce Bancshares,Financials,Regional Banks
ED,Con Edison,Utilities,Electric Utilities
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
CNXC,Concentrix,Information Technology,Data Processing & Outsourced Services
CFLT,"Confluent, Inc.",Information Technology,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
CEG,Constellation Energy,Utilities,Multi-Utilities
COO,CooperCompanies,Health Care,Health Care Supplies
CPA,Copa Holdings,Industrials,
CPRT,Copart,Industrials,Diversified Support Services
CNM,Core & Main,Industrials,
GLW,Corning,Information Technology,Electronic Components
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group,Industrials,
COST,Costco,Consumer Staples,Hypermarkets & Super Centers
CTRA,Coterra,Energy,Oil & Gas Exploration & Production
COTY,Coty,Consumer Staples,Personal Products
COUP,Coupa,Information Technology,
CUZ,Cousins Properties,Real Estate,Office REITs
CR,Crane,Industrials,Industrial Machinery
CACC,Credit Acceptance,Financials,
CRWD,CrowdStrike,Information Technology,Application Software
CCI,Crown Castle,Real Estate,Specialized REITs
CCK,Crown Holdings,Materials,
CSX,CSX,Industrials,Railroads
CUBE,CubeSmart,Real Estate,
CMI,Cummins,Industrials,Industrial Machinery
CW,Curtiss-Wright,Industrials,Aerospace & Defense
CVS,CVS Health,Health Care,Health Care Services
DHI,D.R. Horton,Consumer Discretionary,Homebuilding
DHR,Danaher,Health Care,Health Care Equipment
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DAR,Darling Ingredients,Consumer Staples,
DDOG,Datadog,Information Technology,Application Software
DVA,DaVita,Health Care,Health Care Facilities
DECK,Deckers Brands,Consumer Discretionary,Footwear
DE,John Deere,Industrials,Agricultural & Farm Machinery
DH,Definitive Healthcare,Health Care,
DELL,Dell Technologies,Information Technology,
DAL,Delta Air Lines,Industrials,Airlines
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DXCM,Dexcom,Health Care,Health Care Equipment
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
DKS,Dick's Sporting Goods,Consumer Discretionary,Specialty Stores
DLR,Digital Realty,Real Estate,Specialized REITs
DFS,Discover,Financials,Consumer Finance
DISH,Dish,Communication Services,Cable & Satellite
DIS,Disney,Communication Services,Movies & Entertainment
DOCU,DocuSign,Information Technology,Application Software
DLB,Dolby Laboratories,Information Technology,
DG,Dollar General,Consumer Discretionary,General Merchandise Stores
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores
D,Dominion Energy,Utilities,Electric Utilities
DPZ,Domino's,Consumer Discretionary,Restaurants
DCI,Donaldson,Industrials,Industrial Machinery
DASH,DoorDash,Consumer Discretionary,
DV,DoubleVerify,Information Technology,
DEI,Douglas Emmett,Real Estate,
DOV,Dover,Industrials,Industrial Machinery
DOW,Dow,Materials,Commodity Chemicals
DOCS,Doximity,Health Care,
DKNG,DraftKings,Consumer Discretionary,
DRVN,Driven Brands,Industrials,
DBX,Dropbox,Information Technology,
DTM,DT Midstream,Energy,
DTE,DTE,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
DNB,Dun & Bradstreet,Industrials,
DD,DuPont,Materials,Specialty Chemicals
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
DT,Dynatrace,Information Technology,
EXP,Eagle Materials,Materials,Construction Materials
EWBC,East West Bancorp,Financials,Regional Banks
EGP,EastGroup Properties,Real Estate,
EMN,Eastman,Materials,Diversified Chemicals
ETN,Eaton,Industrials,Electrical Components & Equipment
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Ecolab,Materials,Specialty Chemicals
EIX,Edison International,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
ELAN,Elanco,Health Care,
ESTC,Elastic,Information Technology,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
ESI,Element Solutions,Materials,
ELV,Elevance Health,Health Care,Managed Health Care
EMR,Emerson,Industrials,Electrical Components & Equipment
EHC,Encompass Health,Health Care,Health Care Facilities
EHAB,Enhabit,Health Care,
ENOV,Enovis,Health Care,Health Care Equipment
ENPH,Enphase,Information Technology,Electronic Components
ENTG,Entegris,Information Technology,
ETR,Entergy,Utilities,Electric Utilities
NVST,Envista,Health Care,Health Care Supplies
EVA,Enviva,Energy,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EPAM,EPAM,Information Technology,IT Consulting & Other Services
EPR,EPR Properties,Real Estate,Specialized REITs
EQT,EQT,Energy,Oil & Gas Exploration & Production
EFX,Equifax,Industrials,Research & Consulting Services
EQIX,Equinix,Real Estate,Specialized REITs
EQH,Equitable Holdings,Financials,
ELS,Equity Lifestyle Properties,Real Estate,
EQR,Equity Residential,Real Estate,Residential REITs
ERIE,Erie Indemnity,Financials,
ESAB,ESAB,Industrials,Industrial Machinery
WTRG,Essential Utilities,Utilities,Water Utilities
ESS,Essex,Real Estate,Residential REITs
EL,Estée Lauder Companies,Consumer Staples,Personal Products
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
EEFT,Euronet Worldwide,Information Technology,Data Processing & Outsourced Services
EVR,Evercore,Financials,Investment Banking & Brokerage
RE,Everest,Financials,Reinsurance
EVRG,Evergy,Utilities,Electric Utilities
ES,Eversource,Utilities,Multi-Utilities
EXAS,Exact Sciences,Health Care,
EXEL,Exelixis,Health Care,Biotechnology
EXC,Exelon,Utilities,Multi-Utilities
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,Expeditors,Industrials,Air Freight & Logistics
EXR,Extra Space Storage,Real Estate,Specialized REITs
XOM,ExxonMobil,Energy,Integrated Oil & Gas
FG,F&G Annuities & Life,Financials,
FFIV,F5,Information Technology,Communications Equipment
FDS,FactSet,Financials,Financial Exchanges & Data
FAST,Fastenal,Industrials,Building Products
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FDX,FedEx,Industrials,Air Freight & Logistics
FICO,FICO,Information Technology,Application Software
FNF,Fidelity National Financial,Financials,
FITB,Fifth Third Bancorp,Financials,Regional Banks
FAF,First American,Financials,Property & Casualty Insurance
FCNCA,First Citizens BancShares,Financials,
FHB,First Hawaiian Bank,Financials,Regional Banks
FHN,First Horizon,Financials,Regional Banks
FR,First Industrial Realty Trust,Real Estate,
FRC,First Republic Bank,Financials,Regional Banks
FSLR,First Solar,Information Technology,Semiconductors
FE,FirstEnergy,Utilities,Electric Utilities
FIS,FIS,Information Technology,Data Processing & Outsourced Services
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services
FIVE,Five Below,Consumer Discretionary,Specialty Stores
FIVN,Five9,Information Technology,
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services
FND,Floor & Decor,Consumer Discretionary,
FLO,Flowers Foods,Consumer Staples,Packaged Foods & Meats
FLS,Flowserve,Industrials,Industrial Machinery
FMC,FMC,Materials,Fertilizers & Agricultural Chemicals
FNB,FNB Corporation,Financials,Regional Banks
F,Ford,Consumer Discretionary,Automobile Manufacturers
FTNT,Fortinet,Information Technology,Systems Software
FTV,Fortive,Industrials,Industrial Machinery
FBIN,Fortune Brands Innovations,Industrials,Building Products
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,Materials,Copper
FRPT,Freshpet,Consumer Staples,
FYBR,Frontier Communications,Communication Services,
CFR,Frost,Financials,Regional Banks
FCN,FTI Consulting,Industrials,Research & Consulting Services
GME,GameStop,Consumer Discretionary,Computer & Electronics Retail
GLPI,Gaming and Leisure Properties,Real Estate,
GPS,Gap,Consumer Discretionary,Apparel Retail
GRMN,Garmin,Consumer Discretionary,Consumer Electronics
IT,Gartner,Information Technology,IT Consulting & Other Services
GTES,Gates,Industrials,
GE,GE,Industrials,Industrial Conglomerates
GEHC,GE HealthCare,Health Care,
GEN,Gen Digital,Information Technology,Application Software
GNRC,Generac,Industrials,Electrical Components & Equipment
GD,General Dynamics,Industrials,Aerospace & Defense
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
G,Genpact,Information Technology,IT Consulting & Other Services
GNTX,Gentex,Consumer Discretionary,Auto Parts & Equipment
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores
GILD,Gilead,Health Care,Biotechnology
DNA,Ginkgo Bioworks,Materials,
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services
GFS,GlobalFoundries,Information Technology,
GLOB,Globant,Information Technology,
GL,Globe Life,Financials,Life & Health Insurance
GMED,Globus Medical,Health Care,Health Care Equipment
GM,GM,Consumer Discretionary,Automobile Manufacturers
GDDY,GoDaddy,Information Technology,
GS,Goldman Sachs,Financials,Investment Banking & Brokerage
GGG,Graco,Industrials,Industrial Machinery
GWW,Grainger,Industrials,Industrial Machinery
LOPE,Grand Canyon Education,Consumer Discretionary,Education Services
GPK,Graphic Packaging,Materials,
GO,Grocery Outlet,Consumer Staples,Food Retail
GH,Guardant,Health Care,
GWRE,Guidewire,Information Technology,
GXO,GXO Logistics,Industrials,Air Freight & Logistics
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HBI,Hanesbrands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
THG,Hanover Insurance,Financials,Property & Casualty Insurance
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers
HIG,Hartford (The),Financials,Property & Casualty Insurance
HAS,Hasbro,Consumer Discretionary,Leisure Products
HE,Hawaiian Electric Industries,Utilities,Electric Utilities
HAYW,Hayward,Industrials,
HCA,HCA Healthcare,Health Care,Health Care Facilities
HR,Healthcare Realty Trust,Real Estate,
PEAK,Healthpeak,Real Estate,Health Care REITs
HEI.A,HEICO (Class A),Industrials,
HEI,HEICO (Common),Industrials,
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats
HTZ,Hertz,Industrials,
HES,Hess,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
HXL,Hexcel,Industrials,Aerospace & Defense
DINO,HF Sinclair,Energy,Oil & Gas Refining & Marketing
HIW,Highwoods Properties,Real Estate,
HLT,Hilton,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,Hologic,Health Care,Health Care Equipment
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
HON,Honeywell,Industrials,Industrial Conglomerates
HZNP,Horizon,Health Care,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HHC,Howard Hughes Corporation,Real Estate,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HUBB,Hubbell,Industrials,Industrial Machinery
HUBS,HubSpot,Information Technology,
